Series Name,Series Code,Country Name,cca3,density_2020
Population density (people per sq. km of land area),EN.POP.DNST,Lower middle income,LMC,125.486927226917
Population density (people per sq. km of land area),EN.POP.DNST,Middle East & North Africa,MEA,42.788805189359
Population density (people per sq. km of land area),EN.POP.DNST,Middle East & North Africa (excluding high income),MNA,47.6916747646715
Population density (people per sq. km of land area),EN.POP.DNST,Middle East & North Africa (IDA & IBRD countries),TMN,47.1682934045582
Population density (people per sq. km of land area),EN.POP.DNST,Middle income,MIC,75.3185964917609
Population density (people per sq. km of land area),EN.POP.DNST,North America,NAC,20.4041994772392
Population density (people per sq. km of land area),EN.POP.DNST,Not classified,INX,..
Population density (people per sq. km of land area),EN.POP.DNST,OECD members,OED,38.5884566899613
Population density (people per sq. km of land area),EN.POP.DNST,Other small states,OSS,15.9391641718753
Population density (people per sq. km of land area),EN.POP.DNST,Pacific island small states,PSS,40.0127669524552
Population density (people per sq. km of land area),EN.POP.DNST,Post-demographic dividend,PST,35.6488897333846
Population density (people per sq. km of land area),EN.POP.DNST,Pre-demographic dividend,PRE,48.4626990177166
Population density (people per sq. km of land area),EN.POP.DNST,Small states,SST,16.9533821542803
Population density (people per sq. km of land area),EN.POP.DNST,South Asia,SAS,394.650788659405
Population density (people per sq. km of land area),EN.POP.DNST,South Asia (IDA & IBRD),TSA,394.650788659405
Population density (people per sq. km of land area),EN.POP.DNST,Sub-Saharan Africa,SSF,48.1899915545294
Population density (people per sq. km of land area),EN.POP.DNST,Sub-Saharan Africa (excluding high income),SSA,48.1867980337588
Population density (people per sq. km of land area),EN.POP.DNST,Sub-Saharan Africa (IDA & IBRD countries),TSS,48.1899915545294
Population density (people per sq. km of land area),EN.POP.DNST,Upper middle income,UMC,51.9267324082008
Population density (people per sq. km of land area),EN.POP.DNST,World,WLD,60.1705971175182
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/29/2023,,,,
